Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2018","Kharif","WBCIS","Madhya Pradesh","23","Barwani","393.0","4302.0","4243.0","181.0","4.09","3066.66","153.33","66.25","66.25","90.46","9.43","0.11","2.44","32.59","48.85","16.12","19.39","47.38","33.23","9.0","285.83"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Moradabad","171.0","5310.0","5858.0","911.0","2.4","1606.7","24.1","84.35","84.35","87.0","12.91","0.09","4.25","0.31","46.8","48.64","42.9","51.4","5.7","524.0","192.8"
"2020","Kharif","PMFBY","Tamil Nadu","33","The Nilgiris","587.0","264.0","14.0","257.0","0.05","85.81","4.29","1.06","1.11","79.34","20.66","0.0","1.85","0.0","22.51","75.64","7.01","92.62","0.37","26.0","6.46"
"2020","Rabi","PMFBY","Rajasthan","8","Bhilwara","92.0","93797.0","162506.0","45.0","127.6","80312.42","1204.68","4403.12","4403.12","87.7","12.2","0.1","11.41","7.49","63.58","17.52","20.28","57.18","22.54","436.0","10010.92"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Bijnor","132.0","1102.0","4449.0","74.0","1.13","752.65","11.29","12.23","12.23","95.82","4.18","0.0","1.92","0.11","33.21","64.76","47.53","30.33","22.14","530.0","35.75"
"2019","Kharif","PMFBY","Telangana","36","Medak","513.0","13861.0","13305.0","1965.0","12.82","10705.94","214.12","29.4","29.4","69.26","30.71","0.03","9.94","9.27","59.14","21.65","23.48","65.67","10.85","369.0","272.92"
"2019","Kharif","PMFBY","Telangana","36","Sangareddy","691.0","4414.0","3051.0","1978.0","4.62","3277.9","67.16","61.59","61.59","71.92","28.0","0.08","10.34","4.73","55.66","29.27","10.86","77.69","11.45","255.0","190.34"
"2021","Rabi","WBCIS","Rajasthan","8","Bikaner","93.0","46.0","53.0","2.0","0.05","49.51","2.48","3.71","3.71","94.55","5.45","0.0","10.91","0.0","70.91","18.18","5.45","10.91","83.64","19.0","9.9"
"2019","Kharif","PMFBY","Maharashtra","27","Palghar","665.0","18145.0","9220.0","13302.0","12.81","5168.56","103.37","86.1","86.1","86.52","13.44","0.04","0.98","59.75","21.91","17.36","17.33","73.28","9.39","28.0","275.57"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Firozabad","143.0","6614.0","6651.0","743.0","4.63","2397.18","47.94","53.7","53.7","91.13","8.8","0.07","3.83","0.61","47.32","48.24","28.02","61.43","10.55","501.0","155.34"
"2019","Kharif","PMFBY","Uttarakhand","5","Tehri Garhwal","55.0","2359.0","1331.0","1142.0","0.95","379.31","7.59","5.22","5.22","88.84","11.12","0.04","6.79","0.36","13.59","79.26","26.57","70.97","2.46","14.0","18.03"
"2022","Rabi","PMFBY","Tripura","16","Unakoti","655.0","3981.0","512.0","3791.0","0.38","262.67","0.3","5.92","4.33","77.06","22.94","0.0","12.22","20.4","23.1","44.28","7.46","91.17","1.37","6.0","10.55"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Azamgarh","123.0","22777.0","24497.0","36.0","15.92","7259.78","108.9","125.59","125.59","91.65","8.29","0.06","8.83","0.35","36.58","54.24","53.17","41.35","5.48","1536.0","360.08"
"2018","Kharif","WBCIS","Rajasthan","8","Alwar","87.0","20475.0","21296.0","1.0","10.07","16114.15","805.71","1208.56","1208.56","91.78","8.13","0.09","6.07","7.28","72.15","14.5","30.15","52.57","17.28","1.0","3222.83"
"2019","Kharif","PMFBY","Kerala","32","Pathanamthitta","564.0","64.0","94.0","1.0","0.04","43.23","0.86","1.16","1.16","68.42","31.58","0.0","0.0","0.0","3.16","96.84","7.37","91.58","1.05","12.0","3.18"
"2019","Rabi","PMFBY","Telangana","36","Jogulamba","nan","6145.0","6392.0","420.0","9.14","6571.27","98.57","454.13","454.13","75.72","24.18","0.1","15.69","2.39","59.89","22.03","18.91","54.77","26.32","82.0","1006.83"
"2018","Kharif","PMFBY","West Bengal","19","Bankura","305.0","142741.0","60845.0","92275.0","83.93","45323.16","0.0","283.32","1189.78","92.86","7.12","0.02","5.04","1.67","6.17","87.12","23.73","60.48","15.79","198.0","1473.1"
